epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,765.576,1.44809,2.3082,1.19723,0.78538,0.22926,0.47062,0.29662,1.2941,2.64907,1.10449,0.000411325,0.000411325,0.000411325
2,1460.58,1.41457,1.56714,1.18685,0.49739,0.62236,0.59351,0.34843,1.30713,1.60309,1.14448,0.000787006,0.000787006,0.000787006
3,2088.18,1.41934,1.47986,1.19274,0.64947,0.59482,0.64749,0.38668,1.32314,1.41301,1.1619,0.00112144,0.00112144,0.00112144
4,6578.21,1.37506,1.36061,1.17713,0.73291,0.64046,0.66526,0.40505,1.32829,1.38513,1.15427,0.00106437,0.00106437,0.00106437
5,7240.12,1.37007,1.28256,1.16946,0.71028,0.69113,0.73923,0.44965,1.3259,1.279,1.17154,0.0010025,0.0010025,0.0010025
6,7910.71,1.33146,1.17781,1.1445,0.70251,0.75492,0.78892,0.49496,1.2613,1.10309,1.12169,0.000940625,0.000940625,0.000940625
7,8571.03,1.33964,1.15976,1.15362,0.72845,0.70041,0.77202,0.49364,1.22205,1.15041,1.10897,0.00087875,0.00087875,0.00087875
8,9235.04,1.31719,1.09177,1.13168,0.78725,0.73602,0.80583,0.51253,1.21577,1.06397,1.11385,0.000816875,0.000816875,0.000816875
9,9903.27,1.29603,1.04405,1.12875,0.82638,0.74876,0.85155,0.52764,1.26831,0.94859,1.11553,0.000755,0.000755,0.000755
10,10570.8,1.25225,1.0047,1.12057,0.79543,0.76822,0.83747,0.53796,1.18537,0.93166,1.10133,0.000693125,0.000693125,0.000693125
11,11241.5,1.25461,0.95225,1.13182,0.73482,0.77506,0.82335,0.5015,1.26263,0.96807,1.11016,0.00063125,0.00063125,0.00063125
12,11907.2,1.23198,0.92143,1.10517,0.80156,0.77464,0.85556,0.55895,1.16927,0.90036,1.08772,0.000569375,0.000569375,0.000569375
13,12569.7,1.21357,0.88009,1.10788,0.79365,0.78594,0.86273,0.5656,1.16484,0.8439,1.08204,0.0005075,0.0005075,0.0005075
14,13271.4,1.2066,0.85246,1.1024,0.81121,0.82976,0.89047,0.57207,1.1701,0.82696,1.08577,0.000445625,0.000445625,0.000445625
15,13995.3,1.17957,0.80702,1.08473,0.84725,0.81162,0.8976,0.59414,1.15691,0.78982,1.07934,0.00038375,0.00038375,0.00038375
16,14691.3,1.18152,0.78528,1.08701,0.78917,0.8662,0.91159,0.59615,1.15299,0.76731,1.07547,0.000321875,0.000321875,0.000321875
17,15390.8,1.15206,0.76376,1.07128,0.84071,0.82804,0.90194,0.60326,1.11396,0.7727,1.05822,0.00026,0.00026,0.00026
18,16091.6,1.14099,0.74458,1.0672,0.81453,0.85982,0.91344,0.6135,1.11684,0.72918,1.05625,0.000198125,0.000198125,0.000198125
19,16802.3,1.11961,0.71271,1.05936,0.86161,0.8318,0.91646,0.61665,1.11631,0.72292,1.05958,0.00013625,0.00013625,0.00013625
20,17520.7,1.11312,0.70671,1.06137,0.8353,0.86134,0.91639,0.61641,1.09945,0.71107,1.05262,7.4375e-05,7.4375e-05,7.4375e-05
